user name,user Url,city,Contribution,review Title,review Url,Review Details,expe date
Efa86 wrote a review Mar 2020,/Profile/Efa86,,27 contributions,Very disappointing Spa visit,/ShowUserReviews-g616035-d2664481-r748812715-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Was looking forward to a luxury spa experience however was very disappointed. Had a facial, was greeted on arrival by receptionist and shown to room. There were no towels to cover myself. The therapist very lightly massaged my face and when the mask was applied left the room for 20mins. When she was finished there was residue left on my face and I had to request moisturiser. Overall, poor in comparison with treatments I received elsewhere in Sri Lanka.",Date of stay: March 2020
ChrisReadingUK wrote a review Mar 2020,/Profile/ChrisReadingUK,"Marlow, United Kingdom",206 contributions,Superb resort in a great location ,/ShowUserReviews-g616035-d2664481-r748527245-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Luxury Executive suite Large beautiful bedroom with windows  all along one wall giving spectacular views of Little Adam’s Peak and the valleys beyond. Good sized outdoor decking area with plunge pool But - only wardrobe space is a small kitchen cupboard  & no bath ! Great food and service in restaurant Excellent range of local and international dishes - all beautifully presented and tasted delicious. Try the local ‘hopper’ for breakfast - egg cooked in a thin pancake in shape of bowl in which to add Sri Lankan curries, rice & coconut- delicious ! Amazing 360 deg views from restaurant Special menu, decorations and free roses on Valentines Day dinner £2 by tuk tuk to / from town centre Careful when using a hotel mountain bike. 2 out 3 were fine but one had problem changing gear and then the pedal fell off - check before you set off. Best place we stayed at in Sri Lanka",Date of stay: February 2020
pip_j0y wrote a review Mar 2020,/Profile/pip_j0y,"Durham, United Kingdom",62 contributions,Beautiful setting ,/ShowUserReviews-g616035-d2664481-r748509077-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"The location of this resort is its key appeal fabulous views and we liked the rustic style accommodation. We enjoyed our stay here. Good menu selection, food beautifully presented particularly it seemed if you were on the set menu. All the staff were very polite and helpful. Thoroughly enjoyed the tea factory tour that was organised through the resortThe public spaces are exactly that very public owing to passing trade into the bar and restaurant from the walkers and day trippers to the adjacent hill. This means it does not feel very private when sunbathing by the pool and can mean it’s not always possible to get a table on the terrace for lunch. It might be an idea to keep an area of the terrace for residents only in future. Other small things that could be addressed include the very tired towels at the poolside, the very cold water in the swimming pool and the use of linen napkins at dinner time rather than paper ones.Overall really enjoyed our stay and would recommend but it wasn’t the best place we stayed in during our visit to Sri Lanka, which came as a surprise as we thought it would be given its reputation.",Date of stay: February 2020
Hashani N wrote a review Feb 2020,/Profile/hashanin2020,,1 contribution,Amazing place to be with your family,/ShowUserReviews-g616035-d2664481-r747755546-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"If you are a nature loving person, I would say this is the best place to go with your family. My kid and us were amazed by the environment and beauty of this place.The most important thing about the room was cleanliness. Since we stayed with my little one, I was more concerned about that fact. But there were no reason to be worried, because they have taken care of it to the best.Food was really tasty. Menu was designed in a way that anyone can have at least a food item of their choice. All the staff members were very friendly, supportive and had a smile always in their faces. We had an amazing gateway in 98 acres.",Date of stay: February 2020
NandPCookhamDeanUK wrote a review Feb 2020,/Profile/NandPCookhamDeanUK,Cookham Dean UK,25 contributions,A must in Ella,/ShowUserReviews-g616035-d2664481-r747555577-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"If you were to stay in only one hotel in Sri Lanka, this could be the one. We could not fault it. Fantastic situation with spectacular views, and most if not all room balconies face Little Adams Peak. Spacious rooms (we stayed in a Premium de Luxe room) with very comfortable bed and excellent shower.. Set menu choice of food very good. Staff very pleasant with nothing too much trouble. Ideally placed for walkers with two great treks - one up Little Adams Peak and the other to Nine Arch Bridge. Suggest you spend at least two nights here.",Date of stay: February 2020
Charlie R wrote a review Feb 2020,/Profile/741charlier,"Horsmonden, United Kingdom",29 contributions,"Cool, calm…a collector’s item!",/ShowUserReviews-g616035-d2664481-r747250889-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"What a cool place! Located nicely away from the buzzing, high octane tourist centre of Ella, 98 Acres is a wonderful place to stay and enjoy the lovely cool climate and stunning countryside.  Our room was spacious and beautifully crafted from wood and other natural materials, and had a spectacular terrace overseeing mountains and valleys: sitting on bean bags to watch the sun rise (with tea) or fall (with something stronger!) was a real highlight.  The staff couldn’t do too much: due to their eco-friendliness they don’t do the standard, over-priced hotel laundry service, but instead took it outside of the resort and charged simply their cost price.  Breakfast and dinner were both wonderful, especially if you chose local options.  Lovely pool area with plenty of sun loungers, and gym area with the key equipment and view of the valleys.  Spa was expensive (in local terms), but frankly that’s the only criticism we can think of.  PS we are keen walkers: day time must dos were climbing Little Adam’s Peak (close to the hotel and not far, but requires a bit of scrambling for the last bit), and for us the highlight of climbing Ella rock – 98 Acres got us a tuktuk to the start of the walk, from where we climbed to the top to see breathtaking views, and buy a refreshing king coconut (it takes a few hours, so you need plenty of water).  The photo is of 98 Acres as taken from Little Adam’s Peak.  We hope to return one day.",Date of stay: February 2020
gm199 wrote a review Feb 2020,/Profile/gm199,"Coventry, United Kingdom",67 contributions,Fabulous in every way.,/ShowUserReviews-g616035-d2664481-r746964937-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We stayed at 98 acres for two nights in a premium deluxe room. We were met with a very friendly welcome and taken in the buggy to our room. Everything was really lovely with a huge bed, tea and coffee facilities and very well appointed bathroom with drench shower and a delightful balcony with stunning views of Little Adams Peak. All of the staff were extremely helpful and friendly the nicest we met in Sri Lanka. We had two breakfasts, one lunch and two evening meals in the restaurant and all were very good and of a high standard. The breakfast was a buffet with plenty of choice both hot and cold. The swimming pool area was very pleasant with plenty of sun beds and towels and although a little cool the water was certainly not too cold to swim as I have seen complaints about. All in all this was one of our favourite hotels on our trip and we would not hesitate to stay here again.",Date of stay: February 2020
Sholendra wrote a review Feb 2020,/Profile/sholendra,"Colombo, Sri Lanka",49 contributions,WORTH ONLY FOR THE VIEW,/ShowUserReviews-g616035-d2664481-r745632014-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"This is a resort with stunning views. Scenic view direct from the bed,balconies and the restaurant.massive eco friendly clean rooms with very spacious luxury feel bathrooms.You get the chance to see the little adam’s peak from the room.staffs are friendly.Food was tasty and presented nicely.ambience of the restaurant was good.Surrounding of this resort is full of greenary tea bushes.Nice place to relax in a chill climate.This place has a swimming pool which needs improvement.not attractive.No heated pool for this location’s climate.overall nice stay.",Date of stay: June 2019
pearlthehorse wrote a review Feb 2020,/Profile/pearlthehorse,Gwynedd,23 contributions,Fabulous view,/ShowUserReviews-g616035-d2664481-r745623282-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Only stayed one night but would have loved to stay longer. The most friendly staff we met, & this is a really friendly country. Lovely room with panoramic views. Rustic style rooms blending with the surrounding coutryside. Good choice in the restaurant for breakfast & dinner. My only minor issue was the lack of twin beds.",Date of stay: February 2020
Tintable13 wrote a review Feb 2020,/Profile/Tintable13,,7 contributions,"Great views, service, and a highly recommended place to stay",/ShowUserReviews-g616035-d2664481-r745338059-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Not a luxury hotel in the ""classic"" luxury style, but one of our favorite places we stayed in in Sri Lanka. More on the ""shabby chic"" side, Sri Lankan style. Vertically built, you're always climbing up and down stairs to get to the restaurant, reception, the spa, the pool, or the property entrance. There are carts to take you up and down. But everything worked, the villa was spectacular, service was impeccable, and the restaurant was very good.",Date of stay: February 2020
julespalma wrote a review Feb 2020,/Profile/julespalma,"London, UK",34 contributions,Should be amazing but it falls short,/ShowUserReviews-g616035-d2664481-r745223646-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We were welcomed to the hotel by the only female staff member we saw during our stay.  We did not meet the manager, but had an email from him once we had left the hotel.  We were taken by buggy up a short slope to room 101, a Honeymoon Deluxe room which is the last in a row of similar buildings.  This room is on the upper level of a two storey thatched building and is made up of a bedroom and bathroom.  The sitting area referred to in the description comprises two rather grotty bean bags by the coffee table in the corner.  The balcony is on two sides of the room overlooking tea plantation and has a great view of Little Adam’s Rock and the Ella Gap, as do all the rooms.  Outside there are two wooden chairs with a seat cushion which are not comfortable and at the side there is a low table with two chairs without legs - I am not sure why you would use them.   A kettle is provided for coffee and tea making, but only two small bottles of water provided - in asking, we were given two extra so that we could make tea. The bathroom has a raised area built from old railway sleepers and a huge tub that takes 30 minutes to fill.  There are water spouts instead of taps so having a shower is like standing under a hose which is not a great experience.  The swimming pool is good but you can’t have hot drinks there.  The dining room is a large open sided thatched building set up with far reaching views.  There is one menu for all day use which is peeling at the edges and rather worn looking.  It would be an easy thing to reprint the menu to keep it looking fresh.  Whilst the menu is extensive, some of the dishes just contain too many ingredients but the chef is obviously trying to cover all tastes.  The buffet style breakfast has a fruit station (chopped or juiced) and an egg station as well as a large choice of both Sri Lankan and continental offerings.  However I do not expect to be given paper tissues instead of proper cotton napkins in a four star hotel.  The location is dramatic, with stunning views and the birdsong in the morning is wonderful as already noted in so many reviews and the staff are friendly.  The hotel is convenient for the short walk up Little Adam’s Peak and down to Nine Arch Bridge.  We also had a fascinating visit to UVA Halpewatte Tea Factory.  I think one night, or two maximum, would suffice here as there are so many other beautiful sights to see in this glorious country.",Date of stay: February 2020
Sonbol wrote a review Feb 2020,/Profile/Ghezelbash,,6 contributions,Breathtaking view,/ShowUserReviews-g616035-d2664481-r745189071-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"98 Acres is a pearl of wonderlust. Everything from the room surrounded by tree brunches, to the walk to breakfast, to the elegance and coziness of the decor, the view and the swimming pool, is a piece of heaven I would like to come back to, over and over again. We were here for 2 nights on our honeymoon. The bed was decorated for our arrival and we got complimentary fruit plates and cakes both nights. We had dinner in the restaurant both nights as in our opinion they had the best food so far. They also surprised us with a decorated table on our first night to celebrate our honeymoon. We used the spa for a massage, which I personally was happy about. The staff were super friendly and checked on us regularly.",Date of stay: February 2020
John C wrote a review Feb 2020,/Profile/johncD7128GH,"East Molesey, United Kingdom",232 contributions,"Exceptional, Excellent, Eco-friendly",/ShowUserReviews-g616035-d2664481-r744932524-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"A stunning hotel. Beautiful position adjacent to Little Adam Peak. Beautiful separate thatched cottages for the guests.Well managed, super willing staff, good food & wine at restaurant. Good size pool for swimming.Only criticism. Poor coffee for our Western European taste!",Date of stay: February 2020
MetteDanmark wrote a review Feb 2020,/Profile/MetteDanmark,"Holte, Denmark",51 contributions,What a Gem!!,/ShowUserReviews-g616035-d2664481-r744726754-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Absolutely perfect getaway. Beautiful settings and view, lovely cottages, very nice staff and a good restaurant. Charming in the way that large hotel chains cannot provide. As a family of four we stayed in the executive suite - it was awesome. Very unlike us, we stayed at the hotel and beautiful surroundings with Little Adam’s Peak for the full two days and never got out to see Ella... The four of us definitely want to come back.",Date of stay: February 2020
Lisa W wrote a review Feb 2020,/Profile/LisaW672,"Toronto, Canada",5 contributions,Top quality hotel with stunning views,/ShowUserReviews-g616035-d2664481-r744659154-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Staying here is a totally unique experience you will not forget. It is expensive but worth it. We were on our honeymoon and stayed for 2 nights. I believe we were in a deluxe executive suite which had an infinity pool on the balcony - this was the only room option available when we booked about 1 month before our visit. There are not many suites at this hotel, so book well in advance if you are considering 98 Acres. The service and amenities are top-notch. You will have a butler who can help with anything you need. Since the property is perched on a hill, you may work up a sweat on the 5-10 min walk up to the restaurant (especially in the heat), but you can call a buggy to take you to & from your room. We had dinner at the restaurant both nights. We had no desire to look elsewhere since these were the best meals we had in Sri Lanka. There are many options on the menu (including Sri Lankan, Indian and western), and the food was delicious. Decent wine list too.",Date of stay: January 2020
salujajayasena wrote a review Feb 2020,/Profile/salujajayasena,"Colombo, Sri Lanka",102 contributions,Amazing location & fantastic food. Unique experience,/ShowUserReviews-g616035-d2664481-r744118455-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"My family went to Ella with some visitors (family)from overseas. This place was famous in the US among the travelers. So they wanted stay in this hotel at least two days. It was my first time and I should say Ella is so peaceful and ideal place to relax. Whether was so nice and cool. We did hiking , there were other activities available as well.  Breakfast buffet was awesome.spread was great. Healthy food corner was really good for us.Lot of fruits and veggies to choose from. They had tramp service to go to our cottage. There was a Spa as well. but didn't have the time to try the Spa.",Date of stay: December 2019
Lesley L wrote a review Feb 2020,/Profile/leslolush55,"Chelmsford, United Kingdom",18 contributions,A little bit of heaven,/ShowUserReviews-g616035-d2664481-r743911234-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,What a fabulous place. Beautiful location and so peaceful.  Villas were excellent as were the facilities   never met such happy kind and smiling staff for whom nothing was too much trouble. Food excellent  and very good value wanted to stay longer but we were moving on.  Would definitely return,Date of stay: February 2020
Londonrevw wrote a review Feb 2020,/Profile/482pz,"London, United Kingdom",14 contributions,"Amazing facilities, didn’t stay because it was fully booked",/ShowUserReviews-g616035-d2664481-r743891197-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"If you are going to Ella, do yourself a favor and visit this resort.For Sri Lanka they have high prices, but is worth it for the quality you get, so after all there is value for money.When we return to Ella I will definitely try to book this Hotel.The staff in the restaurant and Spa are amazing.Great gem",Date of stay: February 2020
josh wrote a review Feb 2020,/Profile/jbyounger,,5 contributions,Probably the best stay of our trip to Sri Lanka,/ShowUserReviews-g616035-d2664481-r743723299-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"The view from our room was simply breathtaking and somewhere you could sit and enjoy all day. The pool area was quiet and clean and again somewhere you can enjoy the view. Staff were very excellent and the breakfast and dinner were cooked to a very good standard. The access to Little Adams Peak and 9 arch bridge are another reason to stay here, you can be there for sunrise in no time. We would definitely stay again.",Date of stay: January 2020
BeachyNairobi wrote a review Feb 2020,/Profile/BeachyNairobi,Nairobi,58 contributions,You won't regret it if you stay an extra night,/ShowUserReviews-g616035-d2664481-r743377722-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"If you are thinking of booking two nights, make it three. We come back to Sri Lanka every year and without a doubt, the highlight is our stay at 98 acres. You could spend days just sitting on your balcony looking at the view, it is breathtaking. Little Adams peak is on the doorstep, just half an hour walk from your room and you are at the top looking down onto the plains. The service in this place is great without being over the top. Fabulous restaurant. Wonderful breakfast. Give yourself and extra day and spend it by the pool, it is the most relaxing way to spend your time after all that sightseeing. Thanks to all the team at 98, you do a great job and we can't wait to come back.",Date of stay: January 2020
Jessica819 wrote a review Feb 2020,/Profile/Jessica819,"Hong Kong, China",432 contributions,Overrated and could use some maintenance / overhaul / renovation ,/ShowUserReviews-g616035-d2664481-r743016684-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"I was looking forward to staying at this hotel after reading all the reviews here. First of all our standard room is tiny. I took out some clothes to put inside the closet and the piece of wooden shelf was so disgusting (to me at least!). I would describe it but it’s giving me goosebumps just thinking about it. The shower is like water shooting from a water gun, quite painful actually. I’m attaching a photo to show what I mean. The tap runs when you place your hand on the sensor so it was really annoying and awkward when you’re washing your face. On the plus side, the restaurant was amazing. One of the best meals we had in our entire trip. The staff are very friendly too though sometimes you need to ask for things a couple of times before they arrive. Another plus is the location. You can hike up to little Adams peak and very conveniently on the way there’s a zip line which costs 20 usd. Totally safe (they double and triple check the harness and equipment) and you zip through the lush greenery below. We also booked a massage which was also average. Took a photo of the bed which didn’t look and feel comfortable. The view was great but that’s all there was to our experience. I couldn’t believe the state of our room and so when the manager came over and asked about the shelf I asked how old the resort is. 9 years apparently. I felt like it was built in the late 80s early 90s. This obviously is still bothering me while I write this review. Yes the view is amazing but you get that from most hotels (Aliya in sigiriya and Santani in kandy). Maybe the villas are better. I usually take tons of photos of the room and hotel grounds and I didn’t for this one. I would probably skip this unless they change the rooms",Date of stay: January 2020
Emanic wrote a review Feb 2020,/Profile/Emanic,"Lowestoft, United Kingdom",207 contributions,Fabulous view from standard rooms. Lots of steps!,/ShowUserReviews-g616035-d2664481-r742977570-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Stayed two nights here in a standard room.Fabulous views across the tea plantations and valley to Little Adam’s Peak, Ella rock and beyond. Our room was clean and comfortable. The bathroom left a lot to be desired! This is an eco resort and some odd choices have been made.....the shower is of a water fall design and pours out in one ‘gush’, difficult for hair washing etc! The basin works on a sensor basis, and was a nightmare to activate....once on, I kept my hand firmly in place and probably wasted a lot more water than if I had used a conventional tap! (Reason for 4*). We didn’t eat in the restaurant except for breakfast which was excellent and lots of choice. The evening menu was limited and expensive, so we chose to use our driver to take us into Ella ‘town’ and tuk tuk back.There are lot of extra activities at 98 acres zip line, quad bikes etc but all at extra cost. The access to Little Adam’s Peak is through the resort. The pool area is small but great for a dip after a day hiking. A great place to spend a few days and all sights including nine arch bridge are easily accessible. The down side of the resort are the steps, bathroom and food available in the evening.",Date of stay: January 2020
CheekyLondon wrote a review Feb 2020,/Profile/CheekyLondon,"Southend-on-Sea, United Kingdom","1,380 contributions",Fantastic Experience!,/ShowUserReviews-g616035-d2664481-r742609788-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Nothing prepared us for the awe inspiring beauty of this resort.  Set in lodges overlooking Little Adam's Peak, this place is absolutely stunning.  Wildlife abounding from the huge balcony and wonderful views.  You can get an electric buggy to drive you around if you are less able - phone and they pick you up.  The whole place is built with an eco friendly theme - even the furniture is recycled wood and the headboard above the bed is made from recycled tea chests.  Where possible everything is reused or recycled.  The rooms and in particular the bed - is huge!  There is a beautiful restaurant with Sri Lankan dishes and also dishes with a western influence, all housed in a palm leaf roof with open sides, to make the most of the beautiful views.  A very nice pool (a bit cold at first!)  You can have spa treatments, though we didn't have any here.  There are tea plantations all around and you can see the workers working.  A great place from which to visit Little Adam's Peak, The Nine Arch Bridge and the pretty little town of Ella with it's bars and souvenir shops.  Lovely!",Date of stay: January 2020
bdev2015 wrote a review Feb 2020,/Profile/bdev2015,"Harrow, United Kingdom",113 contributions,Absolutely Awesome!,/ShowUserReviews-g616035-d2664481-r742540052-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Our group of 6 friends were so relieved when we eventually arrived at 98 Acres resort after a gruelling drive from Nuwara Eliya to Ella. A beautifully designed boutique resort  surrounded by stunning, awesome  landscape, perfect for connecting with nature and its beauty. Check in was quick. Our superior suites awere astounding - rustic and spacious  with a large balcony giving stunning views and overlooking Little Adams Peak.  At daybreak, watching the sun rise from the balcony to the sound of birdsong is truly magical. The accessories and toiletries provided and the decor of the suite, reflected the eco friendly ethos of the resort.The dining room offered panoramic views of the surrounding  tea plantations and lush green landscape. Breakfast is self service with a wide selection of Sri Lankan and Western style food, fresh fruit and juices.  Dinner is table service with 5 courses, each dish beautifully presented and served by attentive waiting staff.  The only downside to this sumptuous meal is the large size of the main course, especially after having had 3 courses prior to it, inevitably leading to food being wasted! Kind of defeating the eco friendly ethos.The resort has a spa and swimming pool and other outdoor activities eg trekking Little Adams Peak are all within easy reach. The combination of friendly, attentive staff, delicious food and picture perfect location makes 98 Acres the perfect resort to stay and explore the areas around Ella.  Words cannot fully justify the beauty of this place!",Date of stay: February 2020
Susie B wrote a review Jan 2020,/Profile/k1beedle,LONDON,37 contributions,Stunning view of Little Adam’s Peak from our balcony,/ShowUserReviews-g616035-d2664481-r742291160-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We thoroughly enjoyed our stay here. The welcome was friendly and the staff helpful. Delicious dinner and breakfast (although while our backs were turned, the crows nicked our toast, not the staff’s fault!) Only slight niggles were that you have to get in or out of bed to turn the light switches on or off and the floor in the shower is very slippery, also the new loo seats do not fit on the loos!!! There are plenty of activities to do at the hotel and it was fun to see the 9 Arches Bridge nearby and watch the train go past! The day we left, our car broke down when descending the hill. We were taken back to the hotel and were allowed to swim in and sit by the pool until  the vehicle was fixed.  A great place to stay surrounded by tea plantations with a great view of Little Adam’s Peak from the balcony.",Date of stay: January 2020
Simon B wrote a review Jan 2020,/Profile/U1659MXsimonb,,141 contributions,Fantastic ,/ShowUserReviews-g616035-d2664481-r741916667-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,What a fabulous place. To start you need to understand this is an eco resort- so it’s different in its approach. For that I commend it. The staff are friendly and helpful and are always available. The room I had a fabulous view of the valley and was spacious and well thought out. Previous reviews have moaned about insect and animal noise- it’s there but it’s part of the place you are staying so deal with it!! Breakfast is served at the 98 cafe and is also very good- I know my breakfasts and this is excellent.Hard to find fault - loved it!,Date of stay: January 2020
hotspot78 wrote a review Jan 2020,/Profile/hotspot78,"Singapore, Singapore",958 contributions,Excellent property in Ella,/ShowUserReviews-g616035-d2664481-r741830730-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Location is superb - breathtaking view of the mountains, right next to the trail to the Little's Adam Peak. Also lots of tea plantations at the property so you can relish the view of tea pluckers.Property is very well maintained and despite being surrounded by nature, it was spotless and clean with no insects inside the rooms (a common problem in most other similar properties).Staff were very courteous and efficient. Keep up the good work.Definitely glad that I chose this property and will definitely recommend it to everyone.",Date of stay: January 2020
Claire4132 wrote a review Jan 2020,/Profile/Claire4132,"Surrey, United Kingdom",168 contributions,Very good hotel with great facilities,/ShowUserReviews-g616035-d2664481-r741477202-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,We stayed here for two nights during our honeymoon as we wanted somewhere in Ella for our base. The location is great and within easy reach of Little Adams peak and Nine arch bridge. We had a standard room which was good and it has a great balcony overlooking the valley which was superb. Breakfast was good with plenty of options and the location for breakfast was also nice with a view. The only thing which could be improved on is the service which is why I have rated 4 instead of 5 stars - it was very good but it was not excellent. Overall though we really enjoyed our stay and it was the perfect base that we needed!,Date of stay: January 2020
Himself_again wrote a review Jan 2020,/Profile/Himself_again,"London, United Kingdom",83 contributions,Nice tranquil location,/ShowUserReviews-g616035-d2664481-r741387543-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"A relatively short walk or a very quick tuk-tuk ride away from the town centre, it’s a complete contrast to Ella central!Really nice layout although be aware that there are a lot of steps on the property which can be a bit of a challenge; you can arrange to be collected by golf cart which makes life easier.Nice bar and restaurant with a great selection for breakfast. Pool is small but fine as long as you can get one of the few sun beds. Really, really nice spa treatments tooKnocked off a point because of the lack of soundproofing between properties. We stayed in a premium and you could hear pretty much everything going on in the adjoining room - fortunately for us they were a nice quiet couple but it could have been a problem",Date of stay: April 2019
Mike S wrote a review Jan 2020,/Profile/386MikeS,"Northampton, United Kingdom",250 contributions,Very Good....with Limitations!,/ShowUserReviews-g616035-d2664481-r741070672-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"Stayed recently for two nights. The resort is pleasantly situated with great views of Ella Rock and Little Adams Peak. Our room was perfectly adequate for our short stay, with a lovely balcony. We were a little concerned with the shower facilities and the eco-friendly water basin was a complete waste of time! Please note the electric socket next to the shower outlet!We enjoyed the buffet breakfast and there was a wide range of options. We found the evening menu a little overpriced and opted to eat in the vibrant town.Thankfully we had a driver as the resort is situated a little over ten minutes drive out of the centre. We walked up Little Adams Peak and, although challenging, the view at the peak was amazing.Please note, this resort is on a hillside and while there are buggies to transport you, the steps up to the restaurant etc. Are quite steep. There are optional amenities such as quad bikes, shooting and the zip wire(20 dollars) should you wish to use them!",Date of stay: January 2020
Gavesh H wrote a review Jan 2020,/Profile/gaveshh,,1 contribution,Friendly and Quality Service,/ShowUserReviews-g616035-d2664481-r740943892-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,Im writing this review to appreciate the service given by Suranga Lakmal who’s working at the restaurant. He gave an absolutely amazing service during our visit and that was an awesome combination with the service as well as the quality of food. Good Place and Good vibes.,Date of stay: October 2019
Anne C wrote a review Jan 2020,/Profile/358AnneC,"York, England, United Kingdom",59 contributions,A unique place,/ShowUserReviews-g616035-d2664481-r740791743-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"98 Acres is part eco/wildlife lodge and part luxury hotel. It's picture postcard looks were what got me to Sri Lanka in the first place (via a photo of it on a National Geographic booklet about Sri Lanka) and I have not been disappointed. While we had our 3-night stay we had a brilliant birdwatching morning. Try it, if you can be up and out by 6 in the morning. We saw scarlet woodpeckers and large grey hornbills that we would never have seen by ourselves. We also had a 'cook your own Sri Lankan curry' session which was really good, with recipe notes to bring home. We certainly enjoyed eating the four curries we made (along with chef's rice)! And we were very impressed that it was all done in the resort's very compact main kitchen. The variety, quality and quantity of meals that came out of that small space, especially at dinner, were amazing. I'd tried to book 98 before without success and it was certainly worth the wait.",Date of stay: January 2020
dimu007 wrote a review Jan 2020,/Profile/dimu007,"Colombo, Sri Lanka",230 contributions,Great place to enjoy Ella ,/ShowUserReviews-g616035-d2664481-r740755330-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"It is very hard to book the location.  You have to book at least few months ahead. Staff is very friendly and helpful. We had  breakfast but the variety is less. We stayed in a suite which is very nice and one of the best. Butler Tharaka was very supportive. It is a very beautiful location with a great view and convenient to visit the flying Rawana, mini Adam’s peaks and nine arches bridge. I highly recommend this place.",Date of stay: January 2020
Ali wrote a review Jan 2020,/Profile/Ali2011_11,"Buckingham, United Kingdom",7 contributions,Stunning Views which ever way you look!,/ShowUserReviews-g616035-d2664481-r740425484-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We stayed here for 3 nights between Xmas & NYE as a family of four.  The views from the balcony, breakfast, pool and spa are jaw dropping.  Stones throw from Little Adams Peak, so one dawn walked up with the family and another I ran up it.  If looking for a longer hike, go up Ella Rock which is about a 10km round trip from bottom of Ella town - really enjoyable.  We did the zip-lining which was fun.  We all loved 98 Acres.",Date of stay: December 2019
GemSanto wrote a review Jan 2020,/Profile/GemSanto,"Perth, Australia",10 contributions,Wonderful stay!,/ShowUserReviews-g616035-d2664481-r740226934-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"My husband and I came here on our honeymoon and absolutely loved our stay! The suite we stayed in was massive, with a balcony including lounge chairs so we could relax, looking out over the beautiful Ella countryside. Huge bathroom, spotlessly clean with a big window again looking out onto the countryside and an amazing waterfall shower. Our room was cleaned and tidied twice a day! Tastefully decorated rooms in the rustic, 'eco' theme of the resort. Great pool, again with great views over the valley. We ate dinner at the restaurant once and enjoyed our meal. Lots of choice. The buffet breakfast was the best we have had in SL, so much choice. We found the hotel to be quiet and peaceful, with beautiful grounds, and short walks to both the 9 arch bridge and Little Adams Peak. Could not fault the staff, all were friendly and helpful. We were sad to leave Ella and would come back to 98 Acres. Highly recommend a stay here",Date of stay: January 2020
Emmawalker3 wrote a review Jan 2020,/Profile/Emmawalker3,"Chiang Mai Province, Thailand",20 contributions,Short but sweet! ,/ShowUserReviews-g616035-d2664481-r739938655-98_Acres_Resort_and_Spa-Ella_Uva_Province.html,"We only stayed at the 98 Acres for one night as we booked last minute and they were fully booked for the rest of our trip, however we are so glad we experienced the hotel even though it was for such a short period. We had the most basic room but it was still a lovely hut with the most amazing valley view of Little Adams Peak directly in front and Ella Rock just behind. You are spoilt with the most amazing sunrise with it all in view. The food is good, I wouldn’t say excellent but nice enough. The breakfast however was very good, they offer quite a large buffet of both western and Sri Lankan options. Even though we only stayed one night the hotel were kind enough to decorate our room and bring us a cake to celebrate our honeymoon. They also nicely decorated the table in the restaurant for dinner. We truly felt pampered!The hotel is quite far out of the main town and expensive for Ella but if you want a bit of luxury during your stay in the town it’s definitely worth it.",Date of stay: January 2020
